Category,Text,Label,Issue?,Notes,Morris note,Unnamed: 6
acronyms,הרופא שלח אותי לבדיקת אק״ג דחופה.,4=ekeɡˈe,,,,
acronyms,התיק עבר לחקירת מח״ש במשטרה.,3=maχˈaʃ,,,,
acronyms,צג המק״מ הראה מטרה מתקרבת.,1=hamakˈam,,,,
acronyms,הנהג החנה את הנגמ״ש בסדנה.,3=hanaɡmˈaʃ,,,,
acronyms,הוא מאושפז בבית חולים רמב״ם היום.,4=ʁˈambam,,,,
acronyms,הוא לקח הלוואה מהסדר גמ״ח קהילתי.,4=ɡmˈaχ,,,,
acronyms,הספר הזה עולה חמישים ש״ח בלבד.,4=ʃˈaχ,,,,
acronyms,ארגון דאע״ש נטל אחריות לפיגוע.,1=dˈaʔeʃ,,,,
acronyms,קראנו את הפירוש של רש״י בשיעור.,4=ʁˈaʃi,,,,
acronyms,הוא הציב מקל״ע על עמדת השמירה.,2=maklˈa,,,,
acronyms,המזכ״ל אישר את ההסכם החדש.,0=hamazkˈal,x,,,
acronyms,למדנו היום מאמר של חז״ל בכיתה.,4=χazˈal,x,,,
acronyms,העובדים מקבלים תוספת אש״ל במשכורת.,3=ʔˈeʃel,x,,glottal,
acronyms,חיל הים רכש סטי״ל חדש.,3=satˈil,x,,,
acronyms,הוא התגייס להיות חפ״ש בגדוד רגיל.,3=χapˈaʃ,x,,,
acronyms,הסמג״ד העביר תדריך לכל החיילים.,0=hasamɡˈad,x,,,
acronyms,הוא קיבל ציון דפ״ר ממש גבוה.,3=dapˈaʁ,x,,,
acronyms,הצבא תגבר כוחות באזור איו״ש הלילה.,4=ʔajˈoʃ,x,,glottal,
acronyms,יצאתי לחמשו״ש אחרי שבועיים בבסיס.,1=leχˈamʃuʃ,x,,,
penultimate stress,אתה מגיע עם האופנוע?,3=haʔofanˈoa,,,fixed,
penultimate stress,יש לך אופניים?,2=ʔofanˈajim,,,i use ofanajim,
penultimate stress,היא עומדת לפטר אלפי עובדים,1=ʔomˈedet,,,,
penultimate stress,שמעת על הדיווח שהיה בחדשות?,0=ʃamˈata 2=hadivˈuaχ,,,,
penultimate stress,זה פתוח אתה יכול להיכנס,1=patˈuaχ,,,,
penultimate stress,הוא בא היום בערב,3=baʔˈeʁev,,,,
penultimate stress,ירושלים היא עיר הבירה,0=jeʁuʃalˈajim,,,,
penultimate stress,השגנו השגים עצומים,0=hesˈaɡnu,,,,
penultimate stress,פוליטיקה זו לא מילה גסה,0=polˈitika,,,,
penultimate stress,הוא לומד באקדמיה,2=baʔakadˈemja,,,,
penultimate stress,אכלתי אבוקדו,1=ʔavokˈado,,,,
penultimate stress,היא ניצחה באולימפיאדה,2=baʔolimpijˈada,,,,
penultimate stress,הוא הגיע עם אמבולנס,3=ʔˈambulans,,,,
penultimate stress,איזה פנטזיה זה,1=fantˈazja,,,,
penultimate stress,היום יש שיעור כימיה,3=χˈimija,,,,
penultimate stress,זו הייתה אימפריה גדולה,2=ʔimpˈeʁja,,,,
penultimate stress,זה אלגוריתם ממש חכם,1=ʔalɡoʁˈitem,,,,
penultimate stress,הוא למד אסטרונומיה וחלל,2=ʔastʁonˈomja,,,,
penultimate stress,זו אלטרנטיבה ממש טובה,1=ʔalteʁnatˈiva,,,,
penultimate stress,זה מצב אופטימלי,2=ʔoptimˈali,,,,
penultimate stress,זה היה אינטנסיבי,2=ʔintensˈivi,,,,
penultimate stress,האקוסטיקה ממש טובה,0=haʔakˈustika,,,,
penultimate stress,מתמטיקה זה תחום רחב,0=matmˈatika,,,,
penultimate stress,זה מרכז טכנולוגי,2=teχnolˈoɡi,,,,
penultimate stress,אינטרקציה ממש טובה,0=ʔinteʁˈaktsja,,,,
penultimate stress,השמש זורחת בבוקר,0=haʃˈemeʃ,,,,
penultimate stress,איזה ילד חכם,1=jˈeled,,,,
penultimate stress,יש לי כלב קטן,2=kˈelev,,,,
penultimate stress,בוקר טוב לכולם,0=bˈokeʁ,,,,
penultimate stress,זה חופש ארוך,1=χˈofeʃ,,,,
penultimate stress,שקט כאן מאוד,0=ʃˈeket,,,,
penultimate stress,קניתי לחם טרי,1=lˈeχem,,,,
penultimate stress,אני שותה מים קרים,2=mˈajim,,,,
penultimate stress,השמיים כחולים היום,0=haʃamˈajim,,,,
penultimate stress,יש לה עיניים יפות,2=ʔejnˈajim,,,,
penultimate stress,הוא מרכיב משקפיים חדשים,2=miʃkafˈajim,,,,
penultimate stress,יש לו אוזניים גדולות,2=ʔoznˈajim,,,,
penultimate stress,תשטוף ידיים לפני האוכל,1=jadˈajim,,,,
penultimate stress,כואבות לי הרגליים מאוד,2=haʁaɡlˈajim,,,,
