Category,Text,Label
penultimate stress,היום יש שיעור כימיה,3=χˈimja
penultimate stress,זו הייתה אימפריה גדולה,2=ʔimpˈeʁja
penultimate stress,זה אלגוריתם ממש חכם,1=ʔalɡoʁˈitem
penultimate stress,הוא למד אסטרונומיה וחלל,2=ʔastʁonˈomja
penultimate stress,זו אלטרנטיבה ממש טובה,1=ʔalteʁnatˈiva
penultimate stress,זה מצב אופטימלי,2=ʔoptimˈali
penultimate stress,זה היה אינטנסיבי,2=ʔintensˈivi
penultimate stress,האקוסטיקה ממש טובה,0=haakˈustika
penultimate stress,מתמטיקה זה תחום רחב,0=matemˈatika
penultimate stress,זה מרכז טכנולוגי,2=teχnolˈoɡi
penultimate stress,אינטרקציה ממש טובה,0=ʔinteʁˈaktsja
penultimate stress,השמש זורחת בבוקר,0=haʃˈemeʃ
penultimate stress,איזה ילד חכם,1=jˈeled
penultimate stress,יש לי כלב קטן,2=kˈelev
penultimate stress,בוקר טוב לכולם,0=bˈokeʁ
penultimate stress,זה חופש ארוך,1=χˈofeʃ
penultimate stress,שקט כאן מאוד,0=ʃˈeket
penultimate stress,קניתי לחם טרי,1=lˈeχem
penultimate stress,אני שותה מים קרים,2=mˈajim
penultimate stress,השמיים כחולים היום,0=haʃamˈajim
penultimate stress,יש לה עיניים יפות,2=ʔeinˈajim
penultimate stress,הוא מרכיב משקפיים חדשים,2=miʃkafˈajim
penultimate stress,יש לו אוזניים גדולות,2=ʔoznˈajim
penultimate stress,תשטוף ידיים לפני האוכל,1=jadˈajim
penultimate stress,כואבות לי הרגליים מאוד,2=haʁaɡlˈajim
penultimate stress,קניתי נעליים חדשות,1=naalˈajim
penultimate stress,אכלתי תפוח אדום,1=tapˈuaχ
penultimate stress,יש רוח חזקה בחוץ,1=ʁˈuaχ
penultimate stress,אין לי כוח לזה,2=kˈoaχ
penultimate stress,המורה כותב על הלוח,3=halˈuaχ
penultimate stress,הוא בחור מאוד שמח,3=samˈeaχ
penultimate stress,אני לא יודע את התשובה,2=jodˈea
penultimate stress,אתה שומע את הרעש?,1=ʃomˈea
penultimate stress,הוא נוסע לתל אביב,1=nosˈea
penultimate stress,זה פוגע בי מאוד,1=poɡˈea
penultimate stress,אני שומע מוסיקה קלאסית,2=mˈuzika
penultimate stress,הוא לומד פיזיקה באוניברסיטה,2=fˈizika
penultimate stress,אנחנו רואים טלוויזיה עכשיו,2=televˈizja
penultimate stress,שמעתי את זה ברדיו,3=baʁˈadjo
penultimate stress,פספסתי את האוטובוס האחרון,2=haʔˈotobus
penultimate stress,הטלפון שלי מצלצל,0=hatˈelefon
penultimate stress,החקלאי נוהג בטרקטור,2=batʁˈaktoʁ
penultimate stress,זה עשוי מפלסטיק קשיח,2=miplˈastik
penultimate stress,קראתי ספר היסטוריה מרתק,2=histˈoʁja
penultimate stress,היא לומדת באוניברסיטה פתוחה,2=baʔunivˈeʁsita
penultimate stress,המבחן בגיאוגרפיה היה קשה,1=beɡeoɡʁˈafja
penultimate stress,ביולוגיה זה מקצוע מעניין,0=bjolˈoɡja
penultimate stress,הוא קורא פילוסופיה עתיקה,2=filosˈofja
penultimate stress,היא תלמד פסיכולוגיה בשנה הבאה,2=psiχolˈoɡja
penultimate stress,היא הולכת לבית הספר,1=holˈeχet
penultimate stress,אני חושבת שזה נכון,1=χoʃˈevet
penultimate stress,היא כותבת מכתב לחברה,1=kotˈevet
penultimate stress,היא אוהבת לאכול שוקולד,1=ʔohˈevet
penultimate stress,היא יושבת על הכיסא,1=joʃˈevet
penultimate stress,היא מנגנת בפסנתר עכשיו,1=menaɡˈenet
penultimate stress,הלכתי לסרט אתמול בערב,0=halˈaχti
penultimate stress,אמרנו לו לבוא מוקדם,0=ʔamˈaʁnu
penultimate stress,אתה ישבת במקום שלי,1=jaʃˈavta
penultimate stress,חשבתי עלייך כל היום,0=χaʃˈavti
penultimate stress,אתה ידעת את האמת,1=jadˈata
penultimate stress,הבנת מה הוא אמר?,0=hevˈanta
penultimate stress,קבענו להיפגש מחר בבוקר,0=kavˈanu
penultimate stress,מצאתי את המפתחות האבודים,0=matsˈati
penultimate stress,אמא שלי מבשלת טעים,0=ʔˈima
penultimate stress,אבא חזר מהעבודה עכשיו,0=ʔˈaba
penultimate stress,למה אתה כועס עלי?,0=lˈama
penultimate stress,כי ככה אני החלטתי,1=kˈaχa
penultimate stress,הנה הרכבת מגיעה לתחנה,0=hˈine
penultimate stress,איפה שמת את הטלפון?,0=ʔˈeifo
penultimate stress,בואו ניכנס פנימה עכשיו,2=pnˈima
